Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Lillyanna,938276726,58,5,53,Sith Eternal Emperor: EP Vader RG G12 Piett G10 Krennic G7 Sidious R3 Darth Maul R3 Dooku R5 Sith Marauder G12 Imperial TIE Bomber JKA R5 Thrawn G12 Tarkin Veers G12 Starck G12
Lillyanna,938276726,52,4,48,Jedi Master Kenobi: GK R7 Bo-Katan Aayla G12 Mace Negotiator GG G12 Wat Tambor G11 6* MagnaGuard Clone Sergeant G8 QGJ GMY R7 Jango R5 Shaak Ti R3 Cad Cody G9
Lillyanna,938276726,10,10,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
Lillyanna,938276726,5,5,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 6*
Lillyanna,938276726,59,11,48,Leia Organa: Captain Rex G12 Princess Kneesaa G12 Wicket Lando Ackbar Scout Trooper G10 R2-D2 Cpt Solo ROLO Chirpa Captain Drogan G10 CLS Boushh (Leia Organa) G10 Chewpio Lobot G12
Lillyanna,938276726,46,46,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
GamingChips,958661216,37,37,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
GamingChips,958661216,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
GamingChips,958661216,46,5,41,Leia Organa: Captain Rex R3 Princess Kneesaa G9 Wicket Lando Ackbar Scout Trooper G9 6* R2-D2 Cpt Solo ROLO Chirpa Captain Drogan G9 CLS Boushh (Leia Organa) Chewpio Lobot G12
GamingChips,958661216,58,58,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
HannibalHunter,669271694,32,0,32,Rey: JTR G8 R2-D2 C-3PO BB-8 G9 RT Scav Rey R5 Finn Poe Vet Chewbacca G9 Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
HannibalHunter,669271694,19,19,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 6*
HannibalHunter,669271694,59,1,58,Leia Organa: Captain Rex Princess Kneesaa R3 Wicket Lando R3 Ackbar Scout Trooper G11 R2-D2 R3 Cpt Solo G12 ROLO G12 Chirpa Captain Drogan G12 CLS R3 Boushh (Leia Organa) G12 Chewpio R3 Lobot G12
natebzta,994951475,35,35,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
natebzta,994951475,12,2,10,Supreme Leader Kylo Ren: KRU R5 Kylo R5 FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP R1 Finalizer 4*
natebzta,994951475,59,24,35,Jedi Master Luke Skywalker: Old Ben R3 JTR C-3PO Mon Mothma G9 Chewpio R3 JKL R1 R2-D2 G12 Han R3 Chewbacca R5 Rebel Y-wing Leia HYoda R3 Wedge Biggs Lando R3
Obi1ablowme,421142431,28,28,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
Obi1ablowme,421142431,58,58,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
Obi1ablowme,421142431,50,8,42,Leia Organa: Captain Rex Princess Kneesaa G10 Wicket Lando Ackbar Scout Trooper G9 R2-D2 Cpt Solo R3 ROLO Chirpa Captain Drogan G12 CLS Boushh (Leia Organa) G11 Chewpio Lobot G12
Obi1ablowme,421142431,57,57,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
Erotavlas,187715758,33,0,33,Rey: JTR G1 R2-D2 C-3PO BB-8 G8 RT Scav Rey R5 Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
Erotavlas,187715758,7,7,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 5*
DarthGutty,357188912,21,21,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
