Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Rui Vuusen,829415495,27,17,10,Troopers: Veers R3 Piett Starck R3 Dark Trooper Range Trooper G12
CanuckinWV,743793668,18,1,17,Troopers: Veers R3 Piett Starck R3 Dark Trooper G11 Range Trooper G12
RP,524758942,24,4,20,Troopers: Veers G12 Piett Gideon G12 Dark Trooper R3 Range Trooper G12
Bithemo Okul,915312418,46,2,44,Troopers: Veers G11 Piett G10 Gideon G9 Dark Trooper G9 Range Trooper G7
Lars Quell,151487741,53,9,44,Troopers: Veers G10 Piett G10 5* Gideon G10 Dark Trooper G9 6* Range Trooper G7 6*
Da Conquering One,765966569,42,31,11,Troopers: Veers R3 Piett Starck R3 Dark Trooper R2 Range Trooper R1
Jcerillo70,177357652,40,33,7,Troopers: Veers R3 Piett Gideon R3 Dark Trooper R4 Range Trooper R3
Hyperspaced Youngling,212125275,30,3,27,Troopers: Veers G11 Piett Gideon G12 Dark Trooper G12 Range Trooper G10
Charles Carmichael,575581256,24,0,24,Troopers: Veers R3 Piett Starck R3 Dark Trooper G8 Range Trooper G8
Griffin,236743442,16,0,16,Troopers: Veers R4 Piett Starck R4 Dark Trooper R3 Range Trooper G6 6*
Sebastien,399275493,24,0,24,Troopers: Veers R3 Piett Gideon R3 Dark Trooper G9 Range Trooper G7
Feel my force,239758921,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Normi Norto,965867695,15,2,13,Troopers: Veers R3 Piett Gideon R3 Dark Trooper R3 Range Trooper G11
Boyk Jhaatim,919177443,29,25,4,Troopers: Veers R4 Piett Gideon R3 Dark Trooper Range Trooper R4
SupremeLeaderBinks,476796531,20,0,20,Troopers: Veers R3 Piett Starck R3 Dark Trooper G9 5* Range Trooper G11 6*
Rendash Arend,557291511,28,7,21,Troopers: Veers R3 Piett Starck G12 Dark Trooper G9 6* Range Trooper R1
Raistin,427524163,3,1,2,Troopers: Veers R4 Piett Gideon Dark Trooper Range Trooper R4
jaba jones,185773348,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Ke Ke Mar,943347694,22,3,19,Troopers: Veers R3 Piett Starck R3 Dark Trooper G9 Range Trooper G12
Mando,933888673,8,0,8,Troopers: Veers R3 Piett Gideon Dark Trooper Range Trooper G12
Vaders Wrath,529633452,10,2,8,Troopers: Veers Piett Starck R3 Dark Trooper Range Trooper G12
Pluto,175835439,9,0,9,Troopers: Veers Piett Gideon Dark Trooper G9 Range Trooper
Rodrca,823518452,6,0,6,Troopers: Veers R3 Piett Starck R3 Dark Trooper Range Trooper R3
Amintor,839325347,8,2,6,Troopers: Veers R3 Piett Gideon R3 Dark Trooper Range Trooper R3
Wolfenstien,431257189,22,1,21,Troopers: Veers R3 Piett Starck R3 Dark Trooper G9 Range Trooper G10
Ghostemane,815334383,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
darthAnology,268848548,15,0,15,Troopers: Veers Piett Starck R3 Dark Trooper G11 Range Trooper G12
Agent S,762721649,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Mitth'raw'nuruodo,887757351,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
KailonTheWhite,431119991,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Jader,446271891,6,0,6,Troopers: Veers R3 Piett Gideon R3 Dark Trooper Range Trooper R3
Wrongfulpuppet,232337688,55,45,10,Troopers: Veers R3 Piett R3 Starck R3 Dark Trooper R3 Range Trooper R3
DAGGOBILI,786851589,40,0,40,Troopers: Veers G8 Piett Gideon G8 4* Dark Trooper G8 5* Range Trooper G8 5*
Action Jackson,735513766,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Duncan Idaho,558223872,28,0,28,Troopers: Veers R3 Piett Starck R3 Dark Trooper G5 Range Trooper G7
Tempestade,869399787,24,0,24,Troopers: Veers R3 Piett Starck R3 Dark Trooper R2 Range Trooper G1
Nick Scott,369379859,22,3,19,Troopers: Veers R3 Piett Starck R3 Dark Trooper G9 Range Trooper G12
Wheels,527159147,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
apex predator,778755637,22,0,22,Troopers: Veers Piett Starck R4 Dark Trooper G4 6* Range Trooper G11 6*
Jib Foresight,746842417,4,2,2,Troopers: Veers R3 Piett Gideon Dark Trooper Range Trooper
Bryan,187684786,11,0,11,Troopers: Veers R3 Piett Gideon R3 Dark Trooper R2 Range Trooper R1
Gman3d,845385122,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Nerf herder,173464351,2,2,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Frednerk,655585354,46,31,15,Troopers: Veers R3 Piett Gideon R2 Dark Trooper G12 Range Trooper R1
FlamingBird,272994959,4,0,4,Troopers: Veers R3 Piett Gideon Dark Trooper Range Trooper R3
