Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
RingoBingo,753267475,43,43,0,139150,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Jorir Orilin,926977164,30,25,5,129706,Shaak Ti G13 Fives Rex Echo (501st) ARC Trooper
Grogg,962697893,64,45,19,115461,Shaak Ti R2 Fives R1 Rex R1 Echo (501st) R1 ARC Trooper R1
Madmartigan813,598483432,38,38,0,139122,Shaak Ti Fives Rex Echo (501st) ARC Trooper
atlasz,569717448,20,20,0,149018,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Necrobe75,198884116,35,23,12,126089,Shaak Ti Fives R2 Rex R2 Echo (501st) R2 ARC Trooper R2
DarthBane71,174384318,0,0,0,139937,Shaak Ti Fives Rex Echo (501st) ARC Trooper
SteelCat25,821667261,89,20,69,41259,Shaak Ti Fives G1 Rex G1 Echo (501st) G1 ARC Trooper G0 0*
LegendsShouldBCannon,964741322,88,33,55,55185,Shaak Ti Fives G4 Rex G11 Echo (501st) G2 ARC Trooper G0 0*
phillipmonseu,789863213,6,0,6,128934,Shaak Ti R2 Fives Rex R4 Echo (501st) R3 ARC Trooper
Kaeya,559179796,50,50,0,134260,Shaak Ti Fives Rex Echo (501st) ARC Trooper
MurazorsHand,384886172,50,38,12,126987,Shaak Ti Fives Rex R1 Echo (501st) R1 ARC Trooper R1
Neres Warjan,995319363,30,5,25,111480,Shaak Ti R4 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Sendo,643445114,69,13,56,56860,Shaak Ti G12 Fives G10 Rex G6 Echo (501st) G6 ARC Trooper G0 0*
Tyron Brandt,467387797,59,25,34,82495,Shaak Ti G11 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G9
DarthBurr11,477475456,56,56,0,135193,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Driggz24,586498455,28,8,20,104543,Shaak Ti Fives G12 Rex R3 Echo (501st) G12 ARC Trooper G12
StafM321,282815211,86,56,30,94611,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Quam,564679127,29,2,27,109207,Shaak Ti G12 Fives R3 Rex G12 Echo (501st) G12 ARC Trooper G11
Chmrda,974657467,36,32,4,134973,Shaak Ti Fives Rex Echo (501st) R3 ARC Trooper R3
mahster,142863467,67,53,14,114864,Shaak Ti R3 Fives Rex R1 Echo (501st) R1 ARC Trooper R1
Egon,642117176,60,22,38,68786,Shaak Ti R3 Fives R3 Rex G11 Echo (501st) G9 ARC Trooper G0 0*
Spencer,765513936,22,22,0,135169,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Ava Adams,562632911,66,60,6,130071,Shaak Ti R4 Fives Rex R4 Echo (501st) R3 ARC Trooper R3
X'lor Bintaghr,754828667,65,47,18,108903,Shaak Ti Fives R2 Rex R2 Echo (501st) G12 ARC Trooper G12
Harry Laing,747653167,56,22,34,77742,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G8 ARC Trooper G8
zodd th imortal,285592276,56,40,16,118431,Shaak Ti Fives R1 Rex R1 Echo (501st) R1 ARC Trooper R1
AJ9133,711347468,56,4,52,51587,Shaak Ti G1 2* Fives G10 Rex G10 Echo (501st) G9 ARC Trooper G8 4*
Arvinx2004,249772289,4,0,4,140681,Shaak Ti R3 Fives R4 Rex R4 Echo (501st) ARC Trooper
Ogga777,653316942,66,24,42,60902,Shaak Ti R3 Fives R3 Rex G8 5* Echo (501st) G8 5* ARC Trooper G0 0*
Yosh Aop,875397478,63,29,34,85874,Shaak Ti G8 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
TacoLord,136924178,85,3,82,5507,Shaak Ti G1 2* Fives G5 5* Rex G1 4* Echo (501st) G1 3* ARC Trooper G0 0*
SLUG BOT,644216513,74,0,74,27525,Shaak Ti G3 4* Fives G5 Rex G4 Echo (501st) G4 ARC Trooper G0 0*
CookieMonster,721193567,80,0,80,13267,Shaak Ti G7 6* Fives G1 6* Rex G1 5* Echo (501st) G1 5* ARC Trooper G0 0*
Kristian,578514369,70,46,24,106708,Shaak Ti Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Joh,279533688,28,3,25,110956,Shaak Ti R3 Fives G12 Rex R1 Echo (501st) G12 ARC Trooper G11
Revan399,259732841,2,0,2,131354,Shaak Ti R3 Fives Rex Echo (501st) ARC Trooper
Derenian,613988544,33,0,33,92795,Shaak Ti R3 Fives G11 Rex G12 Echo (501st) G9 ARC Trooper G9 5*
ScumbagBen,622187912,53,0,53,63522,Shaak Ti G8 Fives G11 Rex G10 Echo (501st) G8 ARC Trooper G0 0*
SolveMisterEase,211432998,89,0,89,1024,Shaak Ti G0 0* Fives G1 4* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
TheFaint,233227682,35,0,35,70708,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G9 ARC Trooper G6 4*
Kit Fisto7,129792246,50,0,50,59674,Shaak Ti G8 5* Fives G9 Rex G8 Echo (501st) G7 ARC Trooper G8 6*
Beau2457,718535931,72,2,70,23479,Shaak Ti G3 4* Fives G2 5* Rex G7 6* Echo (501st) G7 4* ARC Trooper G1 4*
CC042,384144753,27,0,27,101759,Shaak Ti G12 Fives R2 Rex G12 Echo (501st) G12 ARC Trooper G12
Butter man,893927725,19,0,19,115619,Shaak Ti R2 Fives R1 Rex R1 Echo (501st) R1 ARC Trooper R1
Tristaan,396999864,10,1,9,126896,Shaak Ti Fives R4 Rex R4 Echo (501st) R3 ARC Trooper G13
Ussoshi,428318741,27,11,16,117428,Shaak Ti Fives R3 Rex R3 Echo (501st) G12 ARC Trooper G12
Masta Tgray,927877699,5,5,0,137013,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Nano,577376365,12,0,12,134507,Shaak Ti G12 Fives Rex Echo (501st) ARC Trooper G12
