Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Shart69,662285822,34,20,14,118725,Shaak Ti G12 Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R3
Dan,359935949,87,81,6,128099,Shaak Ti G12 Fives Rex Echo (501st) ARC Trooper
Bischmarck,828268378,79,63,16,114711,Shaak Ti Fives R3 Rex R3 Echo (501st) G12 ARC Trooper G12
MINI ASplendidJedi,455414534,88,88,0,133639,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Marren,269783355,83,83,0,149892,Shaak Ti Fives Rex Echo (501st) ARC Trooper
SniperLord,736453491,53,53,0,138869,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Rice Powered,218278765,81,0,81,16671,Shaak Ti G1 4* Fives G1 5* Rex G6 Echo (501st) G1 5* ARC Trooper G0 0*
Soojalembene,878522874,89,74,15,118636,Shaak Ti G9 Fives Rex R3 Echo (501st) R3 ARC Trooper R3
Good E2 Shoes,285356599,80,64,16,113731,Shaak Ti R3 Fives G12 Rex G12 Echo (501st) R3 ARC Trooper
BlackKobra77,495911322,65,31,34,74353,Shaak Ti G9 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G11 4*
Caseyyy,644777646,6,0,6,130417,Shaak Ti G12 Fives Rex Echo (501st) ARC Trooper
Kanon reloaded,236126683,0,0,0,155631,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Da Beetle,772984483,76,68,8,126214,Shaak Ti G12 Fives Rex Echo (501st) ARC Trooper R3
SzettyAlt,799913995,52,52,0,139328,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Jamesss,932183454,6,6,0,146844,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Ronin Khael,633311685,69,54,15,117926,Shaak Ti G12 Fives R3 Rex R3 Echo (501st) R2 ARC Trooper R3
Melion77,934943462,0,0,0,137503,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Veltto,724695932,37,6,31,97125,Shaak Ti G9 Fives G12 Rex R1 Echo (501st) G12 ARC Trooper G12
JustDoc,686415836,37,35,2,133234,Shaak Ti Fives Rex R3 Echo (501st) ARC Trooper
Rumdogg,118697339,31,25,6,130703,Shaak Ti G12 Fives Rex Echo (501st) ARC Trooper
Taco Truck,229327364,54,48,6,121195,Shaak Ti G12 Fives Rex Echo (501st) ARC Trooper
Grismik,382697645,57,27,30,81517,Shaak Ti Fives R3 Rex G9 Echo (501st) G9 ARC Trooper G8 5*
Myrryn,548846135,65,25,40,69757,Shaak Ti R3 Fives R3 Rex G10 Echo (501st) G8 ARC Trooper G0 0*
Chaos Machine,732366952,56,56,0,131921,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Aria C Curran,179298495,18,8,10,112325,Shaak Ti G12 Fives Rex Echo (501st) R3 ARC Trooper R3
Arachnicus,198522162,64,23,41,67408,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G8 ARC Trooper G1
DarthBrosaur,291658232,50,14,36,82955,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G8 ARC Trooper G10
Raki,215582164,87,57,30,84609,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Tethan Props,627222289,23,17,6,124198,Shaak Ti G12 Fives Rex Echo (501st) ARC Trooper
ThatCloneyBoi,742852745,0,0,0,153300,Shaak Ti Fives Rex Echo (501st) ARC Trooper
SkubasteveHD,587257322,24,0,24,117100,Shaak Ti Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Steady,798522549,72,49,23,98533,Shaak Ti G11 Fives Rex R1 Echo (501st) G12 ARC Trooper G12
Nez,616891313,17,7,10,107471,Shaak Ti R3 Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R3
Alorscoings,765454139,81,25,56,44136,Shaak Ti R3 Fives R3 Rex G1 5* Echo (501st) G1 3* ARC Trooper G0 0*
Ralinyebow,714296783,65,23,42,62355,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
ExrayVizion,715735432,65,23,42,65100,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
FriedRedMonkey,114279529,31,31,0,135467,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Henrykona07,611681848,57,2,55,51017,Shaak Ti R3 Fives R3 Rex G1 Echo (501st) G1 ARC Trooper G1 6*
Inigo Montoya,968426252,82,0,82,6190,Shaak Ti G0 0* Fives G8 5* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
RustyGardenChair,714362664,0,0,0,152195,Shaak Ti Fives Rex Echo (501st) ARC Trooper
XLAragorn,518973688,62,0,62,40292,Shaak Ti G8 Fives G11 Rex G8 Echo (501st) G1 3* ARC Trooper G0 0*
lnquisitor Vitor,752341598,65,7,58,36407,Shaak Ti G8 Fives G8 6* Rex G8 5* Echo (501st) G8 5* ARC Trooper G0 0*
JRL98,244412344,0,0,0,153688,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Andam Gratis,847568479,86,30,56,49825,Shaak Ti R3 Fives R3 Rex G1 Echo (501st) G1 ARC Trooper G0 0*
Brodside Lore,221611687,0,0,0,152087,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Doughty01,666931382,66,24,42,52474,Shaak Ti R3 Fives R3 Rex G8 5* Echo (501st) G8 5* ARC Trooper G0 0*
Schiz,763214593,42,0,42,73494,Shaak Ti G11 Fives G9 Rex G12 Echo (501st) G8 ARC Trooper G8 5*
DeathTheHorseman,256289912,35,11,24,101564,Shaak Ti Fives R3 Rex G11 Echo (501st) G10 ARC Trooper G11
Cwilso44,182769951,42,0,42,61951,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
BigRahool,524927632,0,0,0,151493,Shaak Ti Fives Rex Echo (501st) ARC Trooper
