Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Dash Riprock,663558394,6,6,0,146231,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Dash Riprock alt,533182519,66,26,40,89671,Shaak Ti R1 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G0 0*
Kaze no Hi,626549968,85,63,22,106058,Shaak Ti R3 Fives R3 Rex G12 Echo (501st) G12 ARC Trooper G12
Darth1 Daddy,318222584,78,0,78,16940,Shaak Ti G1 2* Fives G9 Rex G1 4* Echo (501st) G1 3* ARC Trooper G0 0*
Darkwizard126,199916727,86,82,4,122416,Shaak Ti Fives Rex Echo (501st) R3 ARC Trooper R3
IMAC1780,247782748,66,60,6,118668,Shaak Ti G12 Fives Rex Echo (501st) ARC Trooper
Dobbz,692459781,66,21,45,69843,Shaak Ti G12 Fives G8 Rex G8 Echo (501st) G8 ARC Trooper G9
Shepard,915153266,87,87,0,136202,Shaak Ti Fives Rex Echo (501st) ARC Trooper
markyjseph,198536458,90,45,45,62385,Shaak Ti G9 Fives G12 Rex G8 Echo (501st) G8 ARC Trooper G8 4*
Silent,667983833,33,14,19,117135,Shaak Ti Fives R2 Rex R1 Echo (501st) G12 ARC Trooper G12
DDC,414812779,66,59,7,123987,Shaak Ti G11 Fives Rex Echo (501st) ARC Trooper
Geekytiger,965999173,66,27,39,66886,Shaak Ti Fives R3 Rex G9 Echo (501st) G8 ARC Trooper G0 0*
Dr Pepper,214958952,5,3,2,150353,Shaak Ti Fives Rex R3 Echo (501st) ARC Trooper
DRIII BFKA BAI,488844648,0,0,0,149019,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Merc,618651132,59,24,35,83416,Shaak Ti G8 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G11
Slartibartfast,625761274,88,51,37,71793,Shaak Ti R3 Fives R3 Rex G12 Echo (501st) G8 ARC Trooper G1 4*
Hizashi Hyuga,681282268,87,81,6,123871,Shaak Ti Fives Rex R3 Echo (501st) R3 ARC Trooper R3
Dimitris,181287221,66,12,54,54011,Shaak Ti G9 6* Fives G9 Rex G10 Echo (501st) G8 ARC Trooper G0 0*
Zeta Sigma 74,644932613,44,35,9,120766,Shaak Ti G11 Fives Rex R3 Echo (501st) ARC Trooper
JediMasterLuke,548318682,70,1,69,26742,Shaak Ti G9 Fives G3 Rex G5 Echo (501st) G3 5* ARC Trooper G1 4*
PirateFTW,252624558,86,82,4,130009,Shaak Ti R1 Fives Rex Echo (501st) ARC Trooper
ahsokatano69,647733796,32,9,23,98946,Shaak Ti G12 Fives R2 Rex R3 Echo (501st) G12 ARC Trooper G12
Moth Tahl,169291728,42,40,2,129612,Shaak Ti R3 Fives Rex Echo (501st) ARC Trooper
Super Pickle,891141788,52,37,15,113212,Shaak Ti G9 Fives R4 Rex R3 Echo (501st) R3 ARC Trooper R4
Blue Moose,233146235,0,0,0,152965,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Verse314,828941825,42,12,30,78271,Shaak Ti R3 Fives R3 Rex G12 Echo (501st) G8 ARC Trooper G8
DarthQuack,399813648,64,0,64,36653,Shaak Ti G0 0* Fives G9 Rex G8 Echo (501st) G9 ARC Trooper G0 0*
NNMSdabber,424386656,86,77,9,117366,Shaak Ti R3 Fives Rex Echo (501st) R2 ARC Trooper R1
EyeGee69,558231367,0,0,0,144871,Shaak Ti Fives Rex Echo (501st) ARC Trooper
AlexisHeros,147311167,74,57,17,102442,Shaak Ti R4 Fives R1 Rex R1 Echo (501st) R1 ARC Trooper R1
Dovahkin,533415171,58,7,51,56836,Shaak Ti G1 6* Fives G12 Rex G10 Echo (501st) G9 ARC Trooper G7 5*
Slartibartfast alt,677547467,90,88,2,134480,Shaak Ti R3 Fives Rex Echo (501st) ARC Trooper
Tralax,165219216,65,43,22,94286,Shaak Ti R3 Fives R3 Rex G12 Echo (501st) G12 ARC Trooper G12
Mordekhai,763875945,65,23,42,61590,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
Phly Enjoyer,212536946,53,0,53,51160,Shaak Ti G3 3* Fives G11 Rex G12 Echo (501st) G11 ARC Trooper G0 0*
Whoomp,391378657,65,26,39,60118,Shaak Ti Fives R3 Rex G8 5* Echo (501st) G8 5* ARC Trooper G1 6*
Shitbird,126758897,17,0,17,121469,Shaak Ti Fives R1 Rex R1 Echo (501st) R2 ARC Trooper G12
Klaus's Legacy,134914132,41,10,31,100148,Shaak Ti Fives G1 Rex G4 Echo (501st) ARC Trooper
Rayed,473591619,59,25,34,78319,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G8 ARC Trooper G8 6*
VadersCrispyNuts,212953269,57,0,57,33514,Shaak Ti G8 6* Fives G8 5* Rex G8 5* Echo (501st) G8 5* ARC Trooper G1 4*
Sheev,989162886,13,0,13,115173,Shaak Ti G12 Fives Rex G13 Echo (501st) R3 ARC Trooper
DieHard2,938849231,0,0,0,138762,Shaak Ti Fives Rex Echo (501st) ARC Trooper
VictorNKnight,535591719,57,2,55,49351,Shaak Ti G8 Fives G10 Rex G8 Echo (501st) G9 ARC Trooper G0 0*
D3athAn93I,538463176,31,5,26,94675,Shaak Ti R3 Fives R3 Rex G12 Echo (501st) G12 ARC Trooper G8
Slartibartfast main,754569525,0,0,0,147535,Shaak Ti Fives Rex Echo (501st) ARC Trooper
D3AthAn91e,795696545,62,0,62,40247,Shaak Ti G0 0* Fives G9 Rex G11 Echo (501st) G8 ARC Trooper G0 0*
CommanderVanto,128599859,34,14,20,98364,Shaak Ti Fives R3 Rex G12 Echo (501st) G12 ARC Trooper G12
Rui Vuusen,767136199,55,0,55,47725,Shaak Ti G8 Fives G11 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
Toxic N'wah,858377675,2,0,2,142265,Shaak Ti R3 Fives Rex Echo (501st) ARC Trooper
First And Foremost,173918281,0,0,0,139867,Shaak Ti Fives Rex Echo (501st) ARC Trooper
