Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Bytor Snowdog,656997348,0,0,0,156145,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Jan Dodonna GAT,482748136,0,0,0,154899,Shaak Ti Fives Rex Echo (501st) ARC Trooper
CptBlackBush,888364832,8,8,0,155156,Shaak Ti Fives Rex Echo (501st) ARC Trooper
DarkCoitus,825389354,0,0,0,154682,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Thux Kraç,146561726,9,9,0,151026,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Cruzman,962295923,0,0,0,147544,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Leo the lion,312994299,2,2,0,145794,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Six,992469319,10,10,0,141090,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Ozzy,574547774,31,22,9,138104,Shaak Ti Fives R1 Rex G13 Echo (501st) ARC Trooper
Delmon Enz,467248887,30,30,0,147285,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Jaycop,322352622,48,38,10,131631,Shaak Ti Fives R3 Rex R3 Echo (501st) ARC Trooper G12
ReveNeveR,436444241,0,0,0,155986,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Hoyt Nitrum,428494676,32,23,9,138890,Shaak Ti Fives G12 Rex R2 Echo (501st) ARC Trooper
Tyson,358865491,10,10,0,145451,Shaak Ti Fives Rex Echo (501st) ARC Trooper
tallon karrde,623616269,0,0,0,150974,Shaak Ti Fives Rex Echo (501st) ARC Trooper
TheMonikon,423522555,42,37,5,138684,Shaak Ti Fives R3 Rex R2 Echo (501st) ARC Trooper
Tad,418829766,29,24,5,142160,Shaak Ti Fives R1 Rex R4 Echo (501st) ARC Trooper
JasTarter Too,234764733,29,29,0,144274,Shaak Ti Fives Rex Echo (501st) ARC Trooper
The Dude,668946646,8,8,0,156343,Shaak Ti Fives Rex Echo (501st) ARC Trooper
JakeBum,554665654,0,0,0,155173,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Bato Kido,464953624,35,13,22,117924,Shaak Ti Fives G12 Rex R1 Echo (501st) G12 ARC Trooper G12
SWfan114,551549951,8,8,0,152747,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Crocodile Dundee,354318791,2,2,0,138319,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Bobby0350,414725423,48,48,0,151262,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Will Shakespeare,863487143,30,30,0,150787,Shaak Ti Fives Rex Echo (501st) ARC Trooper
DarthDado,773529376,15,4,11,127154,Shaak Ti Fives R3 Rex R3 Echo (501st) R2 ARC Trooper R1
Pilgrims Plague,756648931,0,0,0,154403,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Andhur P'hul,625285383,0,0,0,155739,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Obi Bonz Kenobie,948124219,0,0,0,140478,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Hima Glowbin,529813421,1,1,0,146648,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Alias Nome,113955439,26,26,0,136015,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Antithetical,954858446,6,3,3,131101,Shaak Ti R3 Fives Rex R4 Echo (501st) ARC Trooper
Spraguey,287832451,15,0,15,124016,Shaak Ti Fives R2 Rex R1 Echo (501st) R1 ARC Trooper R1
MINIdanilo,411311174,0,0,0,153341,Shaak Ti Fives Rex Echo (501st) ARC Trooper
TomTel,454615177,5,0,5,133667,Shaak Ti Fives R4 Rex Echo (501st) ARC Trooper R1
Jastarter,476181546,33,33,0,145969,Shaak Ti Fives Rex Echo (501st) ARC Trooper
DarthDarth,169543185,0,0,0,152021,Shaak Ti Fives Rex Echo (501st) ARC Trooper
SharpChaos,947247942,1,0,1,138499,Shaak Ti Fives Rex Echo (501st) ARC Trooper R4
Cube Squared,993382787,0,0,0,140719,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Thessa Odai,947123879,8,0,8,139854,Shaak Ti Fives R1 Rex R1 Echo (501st) ARC Trooper
Cameran117,131841125,1,0,1,150509,Shaak Ti Fives Rex R4 Echo (501st) ARC Trooper
Ryza,241712725,12,2,10,137743,Shaak Ti Fives R1 Rex G12 Echo (501st) ARC Trooper
Kamu Teeltoo,711928393,0,0,0,152918,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Caleb,442729443,33,6,27,111624,Shaak Ti Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G9
Armadyl,733774834,31,1,30,91835,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Makashi II,145923722,0,0,0,149102,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Crusader5454,884293376,0,0,0,157945,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Klass Lynder,317336774,9,9,0,141248,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Haus Junge,687721517,10,9,1,146101,Shaak Ti Fives Rex Echo (501st) ARC Trooper R4
JackyP,117166983,0,0,0,155436,Shaak Ti Fives Rex Echo (501st) ARC Trooper
