Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Gorgatron,369351434,0,0,0,152664,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Beats4dayz,738694156,16,13,3,143801,Shaak Ti Fives R4 Rex R3 Echo (501st) ARC Trooper
Raiders,896535542,7,7,0,153885,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Easy E,221724179,24,24,0,134830,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Busan Kaz,249938994,0,0,0,154834,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Obi Bells,926869286,22,6,16,122635,Shaak Ti Fives R4 Rex R2 Echo (501st) G12 ARC Trooper G12
Tau Beta,454169494,38,10,28,104265,Shaak Ti Fives G11 Rex G12 Echo (501st) G12 ARC Trooper G9
FrogMan,687277858,48,48,0,138111,Shaak Ti Fives Rex Echo (501st) ARC Trooper
DarthKevin,519821548,0,0,0,144267,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Kozisms formerly owen,834478884,30,28,2,146746,Shaak Ti Fives Rex R3 Echo (501st) ARC Trooper
Enterthez,667311672,48,34,14,125299,Shaak Ti Fives G11 Rex G11 Echo (501st) ARC Trooper
Tag1turn2,586129226,0,0,0,147587,Shaak Ti Fives Rex Echo (501st) ARC Trooper
AndyJediDude,256488565,0,0,0,138258,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Sherman8erx,797288318,20,0,20,115105,Shaak Ti G12 Fives R3 Rex Echo (501st) G12 ARC Trooper G12
LetTheWookieWin,964467523,67,67,0,150984,Shaak Ti Fives Rex Echo (501st) ARC Trooper
The Hawk 28,238562913,29,7,22,107931,Shaak Ti R4 Fives R2 Rex G12 Echo (501st) G12 ARC Trooper G12
Troan Ziroc,542169378,16,1,15,124421,Shaak Ti Fives R1 Rex R1 Echo (501st) R1 ARC Trooper R2
KeezieGamer,151353698,8,7,1,138165,Shaak Ti Fives Rex Echo (501st) ARC Trooper R4
Dawnstriker,716135386,0,0,0,141680,Shaak Ti Fives Rex Echo (501st) ARC Trooper
FrostyTacos,526353323,32,11,21,108135,Shaak Ti Fives R3 Rex R1 Echo (501st) G12 ARC Trooper G9 5*
zoosy,746698418,3,3,0,138921,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Spicycheesecake69,389883184,24,0,24,113612,Shaak Ti Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Nema Ghyron,429175896,0,0,0,139282,Shaak Ti Fives Rex Echo (501st) ARC Trooper
LynX,612481517,36,8,28,88884,Shaak Ti Fives G11 Rex G12 Echo (501st) G11 ARC Trooper G10 5*
Pantsless Jon,447712697,10,2,8,129748,Shaak Ti Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R3
Dannyslr,172647166,0,0,0,140718,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Mol Varun,986763544,42,1,41,67452,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G8 ARC Trooper G1
PapaBear,831926647,2,0,2,137346,Shaak Ti Fives Rex Echo (501st) R3 ARC Trooper
JudgeXIX,689853664,31,0,31,84169,Shaak Ti R4 Fives R3 Rex G10 Echo (501st) G8 ARC Trooper G8
Pad'wan Liaf,387834279,0,0,0,137495,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Timarius,238999213,3,0,3,136823,Shaak Ti Fives R4 Rex R4 Echo (501st) R4 ARC Trooper
Roswaal PK Mathers,961728231,8,0,8,118789,Shaak Ti R3 Fives Rex Echo (501st) ARC Trooper G12
Tripetoad,636446361,62,20,42,75969,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
Waldo,288837662,29,23,6,131059,Shaak Ti R3 Fives Rex Echo (501st) R3 ARC Trooper R3
RoswaalPKMathers2,986618828,0,0,0,148394,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Klaatu Toht,476121194,6,3,3,148171,Shaak Ti R2 Fives Rex Echo (501st) ARC Trooper
Fosachi Walker,295449912,9,5,4,131105,Shaak Ti Fives R4 Rex R4 Echo (501st) R4 ARC Trooper R4
