Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
MINI kccoyote,475531731,87,0,87,3549,Shaak Ti G0 0* Fives G1 4* Rex G1 5* Echo (501st) G1 4* ARC Trooper G0 0*
TheFoilGuy,386266546,6,6,0,146580,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Tassk,556241794,49,0,49,78642,Shaak Ti G7 Fives G9 Rex G9 Echo (501st) G8 ARC Trooper G8
Rune,354943256,34,5,29,104649,Shaak Ti Fives G10 Rex G12 Echo (501st) G9 ARC Trooper G12
Thraken The First,391943521,3,3,0,152674,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Ethan Geilvta,966726395,30,17,13,121917,Shaak Ti Fives Rex Echo (501st) G12 ARC Trooper G11 6*
schumi,584865814,22,18,4,131207,Shaak Ti R4 Fives Rex R4 Echo (501st) R3 ARC Trooper
BenStaWa,262667721,14,6,8,125264,Shaak Ti Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R3
IceRoad Combine,873156869,25,16,9,127524,Shaak Ti G13 Fives Rex R1 Echo (501st) ARC Trooper
FunkE,717868682,18,14,4,141629,Shaak Ti Fives R3 Rex R3 Echo (501st) ARC Trooper
Leon Ren,985954318,34,2,32,98510,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G10 4*
Cukorborsó,885258888,25,1,24,116251,Shaak Ti Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Nico 1313,653651175,34,5,29,101509,Shaak Ti R3 Fives G11 Rex G12 Echo (501st) G12 ARC Trooper G10
Dani Vao,435684793,48,11,37,98247,Shaak Ti Fives G11 Rex G11 Echo (501st) G5 ARC Trooper G8
Enderz,884897336,11,3,8,136737,Shaak Ti Fives G12 Rex R3 Echo (501st) ARC Trooper
Wonkee,541196571,37,1,36,96046,Shaak Ti G9 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G9
Renegade,325719955,31,10,21,115132,Shaak Ti Fives G12 Rex R2 Echo (501st) G12 ARC Trooper G12
Veran,635732927,49,6,43,65767,Shaak Ti G7 4* Fives G11 Rex G11 Echo (501st) G9 ARC Trooper G9
Charybdis,472347133,43,9,34,90039,Shaak Ti R2 Fives G11 Rex G12 Echo (501st) G9 ARC Trooper G9
Allsomea0,834995483,32,2,30,104125,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
QuilaCaz2,377283622,87,29,58,39764,Shaak Ti R3 Fives R3 Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
Kushbender,427761749,0,0,0,147018,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Deathdealer,849284272,4,4,0,144349,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Texas chef,555996344,8,0,8,129509,Shaak Ti Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R3
Bellanoche,597539666,43,6,37,86504,Shaak Ti Fives G9 Rex G10 Echo (501st) G11 ARC Trooper G5 4*
Zack g,133311619,21,0,21,118008,Shaak Ti Fives G12 Rex R4 Echo (501st) G12 ARC Trooper G10
sergio,836754695,58,20,38,81309,Shaak Ti R3 Fives G12 Rex G10 Echo (501st) G9 ARC Trooper G5
Lil Gap,721276151,58,6,52,63121,Shaak Ti G10 Fives G11 Rex G8 Echo (501st) G8 ARC Trooper G1
Zakeve,366752767,65,23,42,62052,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
Atheryan,368882688,66,24,42,59906,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
ARCNiNjai,682233137,30,0,30,96526,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Dam daniel,385729614,37,9,28,89666,Shaak Ti R3 Fives R3 Rex G10 Echo (501st) G11 ARC Trooper G9
Grandola Paca,715376443,52,0,52,56168,Shaak Ti G9 Fives G9 Rex G7 Echo (501st) G6 ARC Trooper G7
QuilaCaz,453185837,34,11,23,92395,Shaak Ti R3 Fives R3 Rex G12 Echo (501st) G12 ARC Trooper G11
DarthSinister,787198725,12,0,12,127355,Shaak Ti Fives R2 Rex R2 Echo (501st) R2 ARC Trooper R2
Bird and Bull,331866775,42,0,42,56416,Shaak Ti R3 Fives R3 Rex G8 6* Echo (501st) G8 5* ARC Trooper G0 0*
Megabites91,887679269,6,0,6,129561,Shaak Ti G12 Fives Rex Echo (501st) ARC Trooper
SnakeEyes,732469127,5,2,3,135035,Shaak Ti Fives Rex R4 Echo (501st) R4 ARC Trooper R4
Mol Eliza,325466518,70,1,69,33560,Shaak Ti G0 0* Fives G8 Rex G12 Echo (501st) G1 ARC Trooper G0 0*
BabuFrik,177985861,66,24,42,62148,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
DerGert,839229714,6,0,6,130350,Shaak Ti R3 Fives R3 Rex R3 Echo (501st) ARC Trooper
Cap Falcon,492438982,45,4,41,80150,Shaak Ti G12 Fives G11 Rex G11 Echo (501st) G8 ARC Trooper G7
Emperor63,113299429,6,0,6,137156,Shaak Ti R2 Fives R3 Rex R4 Echo (501st) ARC Trooper
Mol Chod,748559391,0,0,0,145192,Shaak Ti Fives Rex Echo (501st) ARC Trooper
gandihip,772797987,79,0,79,29638,Shaak Ti G1 5* Fives G4 Rex G4 Echo (501st) G2 ARC Trooper G0 0*
