Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Elshondo,848839342,15,15,0,151594,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Randal Houisth,821337555,40,34,6,132030,Shaak Ti Fives Rex R3 Echo (501st) R3 ARC Trooper R3
Shmeeegzz,734912572,39,39,0,138547,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Azrael,117388825,7,7,0,142067,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Schmiticus,488999866,3,3,0,139717,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Kaveman,419233423,43,23,20,121526,Shaak Ti Fives R3 Rex G12 Echo (501st) G12 ARC Trooper G12
DarthElshondo,689163274,15,15,0,138898,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Ninjastatten,864833164,35,35,0,137597,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Namazu,775456321,45,45,0,138191,Shaak Ti Fives Rex Echo (501st) ARC Trooper
TritonDankwalker66,818912973,61,61,0,135427,Shaak Ti Fives Rex Echo (501st) ARC Trooper
DanPal37,413355852,66,36,30,92096,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Rabbit4t2,922828851,38,30,8,126063,Shaak Ti R3 Fives Rex R3 Echo (501st) R3 ARC Trooper R3
Perez,298324787,52,30,22,103992,Shaak Ti R3 Fives R1 Rex R1 Echo (501st) G12 ARC Trooper G12
BIGFern69,264513616,89,2,87,11983,Shaak Ti G1 6* Fives G1 Rex G1 Echo (501st) G0 0* ARC Trooper G0 0*
Bel Zetafar,616826226,71,59,12,122148,Shaak Ti Fives R2 Rex R2 Echo (501st) R2 ARC Trooper R2
Enora,264866834,87,87,0,134760,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Brooks,675754931,41,41,0,138129,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Ur An Ugly Piece of,379598722,58,58,0,150458,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Wicket87,165669563,12,12,0,134655,Shaak Ti Fives Rex Echo (501st) ARC Trooper
AmbitiousButRubbish,899278233,21,21,0,139253,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Hawk93524,621313442,46,46,0,137343,Shaak Ti Fives Rex Echo (501st) ARC Trooper
The Battleooze,673371964,45,45,0,133834,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Jawa7778,725233668,66,66,0,133926,Shaak Ti Fives Rex Echo (501st) ARC Trooper
fives deserved better,578758976,8,8,0,155102,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Delara Exibil,195416517,6,6,0,135174,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Malanchi,999644626,0,0,0,157348,Shaak Ti Fives Rex Echo (501st) ARC Trooper
GrandMasterSparty,688953846,27,27,0,138058,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Mol Eliza,176127676,49,33,16,109732,Shaak Ti Fives R3 Rex R3 Echo (501st) G12 ARC Trooper G12
Nerf Herder,979465369,16,16,0,138826,Shaak Ti Fives Rex Echo (501st) ARC Trooper
ObiWanHardeen,494714142,54,54,0,139785,Shaak Ti Fives Rex Echo (501st) ARC Trooper
NotFromEarth,127234541,0,0,0,139010,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Yerma,186565342,58,16,42,62913,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
DarthTrusion,277857633,0,0,0,131518,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Eggnog,742172597,0,0,0,145075,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Ace Boogie,327712693,24,0,24,114016,Shaak Ti Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Jabbaa Da Shrutt,699467699,64,22,42,71911,Shaak Ti R4 Fives G9 Rex G9 Echo (501st) G7 ARC Trooper G6 6*
Sloth,661261825,0,0,0,139942,Shaak Ti Fives Rex Echo (501st) ARC Trooper
brothers of arms and unknown,351352931,40,14,26,82425,Shaak Ti R3 Fives R3 Rex G12 Echo (501st) G12 ARC Trooper G8 6*
MINI Hazedog,733479192,41,7,34,82786,Shaak Ti Fives G10 Rex G12 Echo (501st) G8 ARC Trooper G8 5*
midget licker,877176378,41,0,41,76636,Shaak Ti G9 Fives G12 Rex G12 Echo (501st) G7 ARC Trooper G9 5*
Dos Dancie,516331895,38,13,25,93853,Shaak Ti Fives R3 Rex G12 Echo (501st) G11 ARC Trooper G8
ObiWanKenobi,984572597,51,27,24,102212,Shaak Ti Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Fusch Rendar,529915916,8,3,5,127788,Shaak Ti Fives R3 Rex R3 Echo (501st) R4 ARC Trooper
Azrael0442,649841613,89,89,0,127694,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Skywalker7,988363379,87,31,56,53121,Shaak Ti R3 Fives R3 Rex G1 Echo (501st) G1 ARC Trooper G0 0*
Burt Macklin,789955634,8,0,8,123379,Shaak Ti Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R3
The chosen one,936679183,0,0,0,136827,Shaak Ti Fives Rex Echo (501st) ARC Trooper
DarthSloo,847211544,39,2,37,91500,Shaak Ti G11 Fives G11 Rex G12 Echo (501st) G9 ARC Trooper G10
L0RD SAVITAR,767465911,36,12,24,115171,Shaak Ti Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
wngsprd,436314662,47,47,0,136098,Shaak Ti Fives Rex Echo (501st) ARC Trooper
