Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Blaster08,855782277,0,0,0,151189,Shaak Ti Fives Rex Echo (501st) ARC Trooper
BaByHaGriD,368566945,2,1,1,148291,Shaak Ti R4 Fives Rex Echo (501st) ARC Trooper
Szero99,287595833,3,3,0,150414,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Nano,858259842,0,0,0,152813,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Ockalmighty,945643169,0,0,0,148698,Shaak Ti Fives Rex Echo (501st) ARC Trooper
BarJudah,941577746,0,0,0,151269,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Bev el Agua,614383692,0,0,0,155813,Shaak Ti Fives Rex Echo (501st) ARC Trooper
LongTaco15,837681387,4,4,0,148393,Shaak Ti Fives Rex Echo (501st) ARC Trooper
AmazingRando,655592634,3,3,0,145789,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Ayrbud,127417214,5,4,1,138944,Shaak Ti Fives Rex R4 Echo (501st) ARC Trooper
EOD Dad,397586672,0,0,0,139011,Shaak Ti Fives Rex Echo (501st) ARC Trooper
JakeKuchta,648487887,17,17,0,139183,Shaak Ti Fives Rex Echo (501st) ARC Trooper
TDU,976589444,0,0,0,155701,Shaak Ti Fives Rex Echo (501st) ARC Trooper
MINI KingFD34,995572385,6,0,6,138950,Shaak Ti G12 Fives Rex Echo (501st) ARC Trooper
Vanilla,168137321,0,0,0,152694,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Josiah Zethno,797935243,0,0,0,144124,Shaak Ti Fives Rex Echo (501st) ARC Trooper
MikMak,173352618,0,0,0,152699,Shaak Ti Fives Rex Echo (501st) ARC Trooper
DarthGwalt,865769187,0,0,0,153634,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Mafrah,584754876,0,0,0,142369,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Bhaal182,447195826,0,0,0,148122,Shaak Ti Fives Rex Echo (501st) ARC Trooper
DrDarkRoast,181267235,0,0,0,155048,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Andlu Liown,517837385,0,0,0,147379,Shaak Ti Fives Rex Echo (501st) ARC Trooper
TheSlayer91,978664557,0,0,0,154623,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Banse,819626936,4,4,0,152024,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Mini Bedrock888,263259111,0,0,0,155011,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Sovereign,528537612,0,0,0,146608,Shaak Ti Fives Rex Echo (501st) ARC Trooper
ApoC,544958282,3,1,2,145305,Shaak Ti Fives R4 Rex R4 Echo (501st) ARC Trooper
San Holo,688424765,0,0,0,155296,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Tharius Dawnbreaker,554516524,0,0,0,134908,Shaak Ti Fives Rex Echo (501st) ARC Trooper
IG8888,532896938,5,5,0,153445,Shaak Ti Fives Rex Echo (501st) ARC Trooper
duck,635468945,14,8,6,131628,Shaak Ti Fives Rex R3 Echo (501st) R3 ARC Trooper R3
Jahgwa,928754959,0,0,0,146377,Shaak Ti Fives Rex Echo (501st) ARC Trooper
SteelEagle,225536362,0,0,0,149143,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Scarb Fir,872612614,0,0,0,141629,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Maverick,911715595,17,1,16,124202,Shaak Ti Fives Rex Echo (501st) G12 ARC Trooper G8
Novarich,423722938,27,7,20,112578,Shaak Ti Fives R2 Rex R1 Echo (501st) G12 ARC Trooper G11
Masso Rebwa,942277519,9,2,7,137360,Shaak Ti Fives R1 Rex R2 Echo (501st) ARC Trooper
LondonBatman,772885354,0,0,0,132828,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Molla Pabloko,683779478,22,0,22,102685,Shaak Ti R3 Fives G12 Rex R3 Echo (501st) G12 ARC Trooper G12
Jossk,385734574,40,6,34,98583,Shaak Ti Fives G11 Rex G12 Echo (501st) G12 ARC Trooper G3 4*
FinalBK,544436897,0,0,0,140017,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Seablazer,291158113,11,0,11,127815,Shaak Ti Fives R4 Rex R3 Echo (501st) R3 ARC Trooper G12
LostJedi,264449998,0,0,0,155476,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Wes Terallo,469973666,12,10,2,140285,Shaak Ti Fives Rex Echo (501st) R3 ARC Trooper
Mo Stylz,587551555,6,0,6,126685,Shaak Ti Fives Rex R3 Echo (501st) R3 ARC Trooper R3
Araleth,641664861,56,0,56,51958,Shaak Ti G12 Fives G12 Rex G8 Echo (501st) G1 ARC Trooper G1 4*
Ravith2,775947278,0,0,0,140390,Shaak Ti Fives Rex Echo (501st) ARC Trooper
DarthJavin Vigil,754926717,0,0,0,157626,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Tylin Vaille,684765183,0,0,0,151659,Shaak Ti Fives Rex Echo (501st) ARC Trooper
JMN,315844131,0,0,0,148357,Shaak Ti Fives Rex Echo (501st) ARC Trooper
