Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Will Obi1,215141515,24,24,0,138710,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Sleazy E,695822276,11,11,0,138442,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Plagarian,974618589,24,24,0,139167,Shaak Ti Fives Rex Echo (501st) ARC Trooper
ClîtCommander12345,124661194,31,27,4,142470,Shaak Ti Fives R3 Rex R3 Echo (501st) ARC Trooper
Nearly Headless Nick,666842776,22,20,2,136315,Shaak Ti Fives Rex Echo (501st) ARC Trooper R3
WWG1WG2PRISON,713375299,10,10,0,139585,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Salacious Thumb,444544452,18,18,0,138405,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Droguito,222224934,69,55,14,115220,Shaak Ti G12 Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R3
Berzerk Hobo,252285491,24,24,0,140304,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Bsville,424867781,28,20,8,130292,Shaak Ti Fives R3 Rex Echo (501st) R1 ARC Trooper R3
Scrotie McBoogerballs,832986271,58,52,6,139694,Shaak Ti Fives Rex G12 Echo (501st) ARC Trooper
lottatrotta69,974943562,30,29,1,145345,Shaak Ti Fives R4 Rex Echo (501st) ARC Trooper
Tenzin,736547728,42,42,0,133487,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Krumpch,961147939,45,19,26,109244,Shaak Ti Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G10
JasonNeedsCoffee,721779418,0,0,0,147298,Shaak Ti Fives Rex Echo (501st) ARC Trooper
ObiJuan Keithnobi,355745111,40,25,15,120298,Shaak Ti Fives R2 Rex R2 Echo (501st) R2 ARC Trooper G12
Dannimadd,183382135,0,0,0,147248,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Micahtron,538511948,0,0,0,156928,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Soko,418929655,53,26,27,88613,Shaak Ti R4 Fives G10 Rex R4 Echo (501st) G12 ARC Trooper G7 4*
Adonis13,852276575,22,11,11,121312,Shaak Ti Fives R4 Rex R4 Echo (501st) R4 ARC Trooper G10 4*
Sixx Shooter,536357128,54,54,0,134082,Shaak Ti Fives Rex Echo (501st) ARC Trooper
ShadyT,558572552,38,4,34,101934,Shaak Ti Fives Rex G11 Echo (501st) G3 ARC Trooper G6
MrDusty,754891619,47,47,0,134013,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Gero Zurn,397437123,21,4,17,114092,Shaak Ti Fives Rex Echo (501st) ARC Trooper G1 4*
DarthSacaMando,522114916,17,7,10,128791,Shaak Ti Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R1
NuMex,331898292,0,0,0,165271,Shaak Ti Fives Rex Echo (501st) ARC Trooper
TheFoggy,433616769,0,0,0,154728,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Jivan Mukti,928423758,30,0,30,108081,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Stephman Darksipper,864462482,0,0,0,146883,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Thiffy Gorebreg,442479953,0,0,0,140593,Shaak Ti Fives Rex Echo (501st) ARC Trooper
polarariel,423666999,0,0,0,154517,Shaak Ti Fives Rex Echo (501st) ARC Trooper
DarthMaul5,783529757,23,6,17,121136,Shaak Ti Fives R2 Rex R3 Echo (501st) G12 ARC Trooper G12
Rikka light side,549878449,0,0,0,154083,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Un Te De,889568171,0,0,0,137685,Shaak Ti Fives Rex Echo (501st) ARC Trooper
AlasknPipeLine4,336161127,58,24,34,76162,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G8 ARC Trooper G8
Mal Taros,451234452,37,10,27,91805,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) R2 ARC Trooper G12
Eli,862914648,0,0,0,140506,Shaak Ti Fives Rex Echo (501st) ARC Trooper
GhostofKyiv,429362371,14,2,12,117600,Shaak Ti G12 Fives R3 Rex R3 Echo (501st) R3 ARC Trooper
Balakay,621546373,0,0,0,151591,Shaak Ti Fives Rex Echo (501st) ARC Trooper
SpookyMoonBoy,745861261,40,22,18,103451,Shaak Ti R3 Fives R3 Rex R3 Echo (501st) G12 ARC Trooper G12
ProfessorHyperion,821746548,82,0,82,8412,Shaak Ti G1 2* Fives G5 3* Rex G1 4* Echo (501st) G1 3* ARC Trooper G0 0*
Starking2021,458251864,67,0,67,41250,Shaak Ti G1 Fives G10 Rex G11 Echo (501st) G1 ARC Trooper G0 0*
Axle Alucard,331515332,65,23,42,63781,Shaak Ti R3 Fives R3 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
BigDaddy1,771823415,26,0,26,109575,Shaak Ti R3 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Gavin Bull 2,339712919,8,6,2,144853,Shaak Ti Fives R4 Rex R4 Echo (501st) ARC Trooper
JRO,624654625,65,28,37,71074,Shaak Ti Fives R3 Rex G10 Echo (501st) G9 ARC Trooper G0 0*
Ru Baruba Maral,288751758,24,2,22,114306,Shaak Ti Fives R3 Rex G12 Echo (501st) G12 ARC Trooper G10 5*
Johnnу,414551168,0,0,0,144240,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Cheesebob8,454596482,30,0,30,80596,Shaak Ti R3 Fives R3 Rex G12 Echo (501st) G8 ARC Trooper G8
xxLuckyy,422358225,1,0,1,140879,Shaak Ti R4 Fives Rex Echo (501st) ARC Trooper
