Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
MINI SgtGingerbeard,211844511,50,50,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
MINI SgtGingerbeard,211844511,58,58,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
MINI SgtGingerbeard,211844511,38,38,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
MINI SgtGingerbeard,211844511,18,18,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
MINI SgtGingerbeard,211844511,55,35,20,Jedi Master Kenobi: GK Bo-Katan R1 Aayla R1 Mace R1 Negotiator GG Wat Tambor MagnaGuard Clone Sergeant R1 QGJ R1 GMY Jango R5 Shaak Ti Cad Cody R1
PJMaster,377989166,12,0,12,Supreme Leader Kylo Ren: KRU R5 Kylo R5 FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP G12 Finalizer 0*
PJMaster,377989166,58,4,54,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma G13 Chewpio JKL R3 R2-D2 G12 Han R3 Chewbacca R3 Rebel Y-wing Leia G8 HYoda R3 Wedge G12 Biggs G1 Lando R3
PJMaster,377989166,18,12,6,Rey: JTR R2-D2 C-3PO BB-8 R3 RT Scav Rey R5 Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
MrTomChase24,674818227,59,59,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
MrTomChase24,674818227,58,1,57,Sith Eternal Emperor: EP Vader RG G12 Piett Krennic G11 Sidious G8 Darth Maul G12 Dooku G12 Sith Marauder G12 Imperial TIE Bomber JKA Thrawn R3 Tarkin G12 Veers G12 Starck G12
Mitsuki,844775351,59,59,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 6*
Mitsuki,844775351,55,55,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
Mitsuki,844775351,19,19,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
EisOfSpades,736978576,58,58,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
EisOfSpades,736978576,55,14,41,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma G1 5* Chewpio JKL G12 R2-D2 G8 Han R5 Chewbacca R5 Rebel Y-wing 4* Leia HYoda Wedge Biggs Lando R3
