Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
MINI SgtGingerbeard,211844511,81,65,16,122066,Shaak Ti Fives R1 Rex R1 Echo (501st) R1 ARC Trooper R1
Kate,483591584,84,70,14,116643,Shaak Ti G12 Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R3
Mitsuki,844775351,78,56,22,90567,Shaak Ti R3 Fives R3 Rex G12 Echo (501st) G12 ARC Trooper G12
PJMaster,377989166,87,77,10,125175,Shaak Ti R3 Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R3
Blackwing,654686582,84,54,30,86675,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Peu Trid,631967535,81,19,62,43673,Shaak Ti G1 Fives G9 Rex G8 Echo (501st) G9 ARC Trooper G1 4*
EisOfSpades,736978576,90,29,61,53359,Shaak Ti G9 Fives G11 Rex G7 Echo (501st) G1 ARC Trooper G1
Szerahk,958343253,89,68,21,114416,Shaak Ti G13 Fives R1 Rex R1 Echo (501st) R1 ARC Trooper R1
theLeskiss,626646537,50,16,34,80487,Shaak Ti G11 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G9
MrTomChase24,674818227,76,62,14,116811,Shaak Ti G9 Fives Rex R4 Echo (501st) R3 ARC Trooper R3
Barraza,479721254,68,36,32,100306,Shaak Ti G9 Fives G12 Rex R1 Echo (501st) G12 ARC Trooper G11 5*
OnyXavier,637663384,66,60,6,123753,Shaak Ti G12 Fives Rex Echo (501st) ARC Trooper
Zephyr,297528578,26,18,8,129480,Shaak Ti Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R3
mar5hmn9,294825966,66,64,2,146058,Shaak Ti R3 Fives Rex Echo (501st) ARC Trooper
MINI Leskiss,112892133,87,9,78,23270,Shaak Ti G1 3* Fives G9 Rex G1 Echo (501st) G1 ARC Trooper G0 0*
Bondforged Galeforce,284743495,33,33,0,141633,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Coop,972228286,49,31,18,114411,Shaak Ti R3 Fives R1 Rex R1 Echo (501st) R1 ARC Trooper R1
Jotar0Kujoh,973886778,66,54,12,120850,Shaak Ti G12 Fives Rex R3 Echo (501st) R3 ARC Trooper R3
GeneralSkywalker,628775779,61,40,21,103068,Shaak Ti R3 Fives R3 Rex G13 Echo (501st) G12 ARC Trooper G12
Hoshiyomi Gaming,729762928,76,5,71,28597,Shaak Ti G1 6* Fives G8 Rex G1 Echo (501st) G1 ARC Trooper G8 5*
Obi Shinobi,399864143,52,14,38,69212,Shaak Ti Fives G11 Rex G8 Echo (501st) G8 ARC Trooper G7 4*
etanium,677884492,27,0,27,99891,Shaak Ti Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G9
LittleVoidBlue,989819754,34,14,20,95046,Shaak Ti Fives R3 Rex G12 Echo (501st) G12 ARC Trooper G12
Chantelle Vetacious,842688545,0,0,0,149685,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Jenks,784242554,60,2,58,46179,Shaak Ti G1 2* Fives G10 Rex G11 Echo (501st) G9 ARC Trooper G1 5*
DarthMittens,269983914,43,41,2,121104,Shaak Ti R3 Fives Rex Echo (501st) ARC Trooper
TChewy,572868341,66,26,40,61656,Shaak Ti R3 Fives R3 Rex G10 Echo (501st) G8 ARC Trooper G0 0*
Shelly Kuhn,818148669,68,4,64,41683,Shaak Ti G12 Fives G9 Rex G5 4* Echo (501st) G0 0* ARC Trooper G0 0*
Johnyboy71SWGOH,454715297,57,25,32,79086,Shaak Ti R3 Fives R3 Rex R2 Echo (501st) G11 ARC Trooper G0 0*
Edryynn,853139141,64,42,22,90754,Shaak Ti R3 Fives R3 Rex G12 Echo (501st) G12 ARC Trooper G12
